"Nr","ID","POINT_X","POINT_Y","Sand","Silt","Clay","Ca","set"
301,"A443",756304.063,7519792,22,20,58,23,"validation"
756,"B443",756304.063,7519792,18,12,70,11,"validation"
307,"A445",756904.625,7519803,86,2,12,11,"cal_candidate"
762,"B445",756904.625,7519803,80,2,18,6,"cal_candidate"
308,"A447",757003.563,7519807.5,86,2,12,13,"cal_candidate"
763,"B447",757003.563,7519807.5,82,2,16,6,"cal_candidate"
310,"A449",757202.438,7519807,88,2,10,11,"cal_candidate"
765,"B449",757202.438,7519807,82,2,16,1,"cal_candidate"
311,"A451",757208,7519909.5,86,4,10,12,"cal_candidate"
766,"B451",757208,7519909.5,82,2,16,1,"cal_candidate"
312,"A453",757110.188,7519909.5,86,4,10,11,"cal_candidate"
767,"B453",757110.188,7519909.5,82,2,16,4,"cal_candidate"
313,"A455",757011.25,7519906,76,4,20,13,"cal_candidate"
768,"B455",757011.25,7519906,80,2,18,6,"cal_candidate"
314,"A457",756911,7519905,76,4,20,13,"cal_candidate"
